Program,Array Size,Thread Count,Execution Time
OpenMP,10000,4,205283.984542
OpenMP,10000,4,179355.964065
OpenMP,10000,4,156984.024215
OpenMP,10000,4,172553.001903
OpenMP,10000,4,138308.969326
Java,10000,4,1005723.0
Java,10000,4,829654.0
Java,10000,4,1062600.0
Java,10000,4,1007667.0
Java,10000,4,859670.0
MPI,10000,4,333415.0
MPI,10000,4,383098.0
MPI,10000,4,308117.0
MPI,10000,4,317685.0
MPI,10000,4,324988.0
Padded,10000,4,237735.0
Padded,10000,4,356227.0
Padded,10000,4,468407.0
Padded,10000,4,473377.0
Padded,10000,4,459932.0
OpenMP,10000,8,302736.996673
OpenMP,10000,8,245419.971179
OpenMP,10000,8,240730.994847
OpenMP,10000,8,260396.976955
OpenMP,10000,8,237304.01881
Java,10000,8,1385123.0
Java,10000,8,1450757.0
Java,10000,8,1301488.0
Java,10000,8,1373762.0
Java,10000,8,1712367.0
MPI,10000,8,319629.0
MPI,10000,8,331661.0
MPI,10000,8,311794.0
MPI,10000,8,291365.0
MPI,10000,8,311243.0
Padded,10000,8,611916.0
Padded,10000,8,505867.0
Padded,10000,8,463959.0
Padded,10000,8,488235.0
Padded,10000,8,344916.0
OpenMP,10000,16,523490.016349
OpenMP,10000,16,460012.000985
OpenMP,10000,16,474547.967315
OpenMP,10000,16,437278.999016
OpenMP,10000,16,442318.036221
Java,10000,16,2522254.0
Java,10000,16,2223073.0
Java,10000,16,2257127.0
Java,10000,16,2232942.0
Java,10000,16,2328721.0
MPI,10000,16,390792.0
MPI,10000,16,333424.0
MPI,10000,16,361908.0
MPI,10000,16,314258.0
MPI,10000,16,310051.0
Padded,10000,16,1003660.0
Padded,10000,16,932897.0
Padded,10000,16,919752.0
Padded,10000,16,965529.0
Padded,10000,16,857055.0
OpenMP,10000,32,856203.02707
OpenMP,10000,32,914702.948648
OpenMP,10000,32,883564.003743
OpenMP,10000,32,924531.021155
OpenMP,10000,32,853839.970659
Java,10000,32,3769018.0
Java,10000,32,3383386.0
Java,10000,32,3513470.0
Java,10000,32,3908550.0
Java,10000,32,3371354.0
MPI,10000,32,699500.0
MPI,10000,32,599493.0
MPI,10000,32,592549.0
MPI,10000,32,634608.0
MPI,10000,32,589474.0
Padded,10000,32,1329530.0
Padded,10000,32,1559471.0
Padded,10000,32,1350088.0
Padded,10000,32,1659318.0
Padded,10000,32,1273164.0
CUDA,10000,N/A,2.02698
CUDA,10000,N/A,1.43226
CUDA,10000,N/A,1.51955
CUDA,10000,N/A,1.52704
CUDA,10000,N/A,1.49014
OpenMP,100000,4,317224.010359
OpenMP,100000,4,309719.99513
OpenMP,100000,4,302225.991618
OpenMP,100000,4,448920.007329
OpenMP,100000,4,416029.011831
Java,100000,4,3345255.0
Java,100000,4,3298879.0
Java,100000,4,3493483.0
Java,100000,4,3269463.0
Java,100000,4,3054821.0
MPI,100000,4,1484189.0
MPI,100000,4,1444605.0
MPI,100000,4,2121122.0
MPI,100000,4,1452921.0
MPI,100000,4,1570641.0
Padded,100000,4,670095.0
Padded,100000,4,417552.0
Padded,100000,4,426779.0
Padded,100000,4,429495.0
Padded,100000,4,363361.0
OpenMP,100000,8,359693.018254
OpenMP,100000,8,364533.043467
OpenMP,100000,8,364302.01726
OpenMP,100000,8,367667.991668
OpenMP,100000,8,352881.033905
Java,100000,8,3525703.0
Java,100000,8,4059172.0
Java,100000,8,3513951.0
Java,100000,8,3868104.0
Java,100000,8,3952843.0
MPI,100000,8,1472567.0
MPI,100000,8,1410110.0
MPI,100000,8,2005005.0
MPI,100000,8,1437482.0
MPI,100000,8,1429618.0
Padded,100000,8,684041.0
Padded,100000,8,954628.0
Padded,100000,8,638946.0
Padded,100000,8,743462.0
Padded,100000,8,403095.0
OpenMP,100000,16,601617.037319
OpenMP,100000,16,494716.048706
OpenMP,100000,16,514955.027029
OpenMP,100000,16,472585.030366
OpenMP,100000,16,606255.02374
Java,100000,16,3859508.0
Java,100000,16,3817299.0
Java,100000,16,3872763.0
Java,100000,16,3711291.0
Java,100000,16,3559256.0
MPI,100000,16,2457523.0
MPI,100000,16,1989486.0
MPI,100000,16,1939702.0
MPI,100000,16,1890611.0
MPI,100000,16,2006167.0
Padded,100000,16,1015772.0
Padded,100000,16,775002.0
Padded,100000,16,1037383.0
Padded,100000,16,1058943.0
Padded,100000,16,1112593.0
OpenMP,100000,32,928950.030357
OpenMP,100000,32,911978.01521
OpenMP,100000,32,907038.978767
OpenMP,100000,32,935240.997933
OpenMP,100000,32,939309.014939
Java,100000,32,4571401.0
Java,100000,32,3694148.0
Java,100000,32,4907962.0
Java,100000,32,4971981.0
Java,100000,32,4340530.0
MPI,100000,32,1776227.0
MPI,100000,32,2183789.0
MPI,100000,32,2116664.0
MPI,100000,32,2146540.0
MPI,100000,32,2144476.0
Padded,100000,32,1727535.0
Padded,100000,32,1587062.0
Padded,100000,32,1401254.0
Padded,100000,32,1799019.0
Padded,100000,32,1558358.0
CUDA,100000,N/A,1.60979
CUDA,100000,N/A,1.39075
CUDA,100000,N/A,1.53469
CUDA,100000,N/A,1.7216
CUDA,100000,N/A,1.53197
OpenMP,1000000,4,1507302.979007
OpenMP,1000000,4,1196960.976813
OpenMP,1000000,4,1795563.031919
OpenMP,1000000,4,1492445.007898
OpenMP,1000000,4,1745589.019265
Java,1000000,4,25765383.0
Java,1000000,4,21120113.0
Java,1000000,4,22429466.0
Java,1000000,4,28796751.0
Java,1000000,4,44912773.0
MPI,1000000,4,12444376.0
MPI,1000000,4,12410132.0
MPI,1000000,4,12131880.0
MPI,1000000,4,12546537.0
MPI,1000000,4,12836730.0
Padded,1000000,4,1457419.0
Padded,1000000,4,1232969.0
Padded,1000000,4,1990828.0
Padded,1000000,4,1666581.0
Padded,1000000,4,1584988.0
OpenMP,1000000,8,1193224.976305
OpenMP,1000000,8,795178.988483
OpenMP,1000000,8,1207271.008752
OpenMP,1000000,8,1221287.006047
OpenMP,1000000,8,1100540.97604
Java,1000000,8,34623523.0
Java,1000000,8,41800674.0
Java,1000000,8,38528426.0
Java,1000000,8,50811990.0
Java,1000000,8,41309804.0
MPI,1000000,8,12387870.0
MPI,1000000,8,11366237.0
MPI,1000000,8,11760906.0
MPI,1000000,8,11788938.0
MPI,1000000,8,11849091.0
Padded,1000000,8,1645142.0
Padded,1000000,8,1420771.0
Padded,1000000,8,1330532.0
Padded,1000000,8,1348466.0
Padded,1000000,8,1336082.0
OpenMP,1000000,16,1053903.019056
OpenMP,1000000,16,1431320.037227
OpenMP,1000000,16,1362501.003314
OpenMP,1000000,16,1533921.982627
OpenMP,1000000,16,1307057.973463
Java,1000000,16,49544186.0
Java,1000000,16,62133092.0
Java,1000000,16,61936303.0
Java,1000000,16,37471767.0
Java,1000000,16,34339371.0
MPI,1000000,16,11368090.0
MPI,1000000,16,11403977.0
MPI,1000000,16,11082815.0
MPI,1000000,16,11143720.0
MPI,1000000,16,11393778.0
Padded,1000000,16,1520959.0
Padded,1000000,16,1947086.0
Padded,1000000,16,1778150.0
Padded,1000000,16,1321545.0
Padded,1000000,16,1627868.0
OpenMP,1000000,32,1693450.962193
OpenMP,1000000,32,1445467.001759
OpenMP,1000000,32,1890420.971904
OpenMP,1000000,32,1807965.978514
OpenMP,1000000,32,1852219.051216
Java,1000000,32,22118053.0
Java,1000000,32,22071365.0
Java,1000000,32,21529681.0
Java,1000000,32,26960992.0
Java,1000000,32,29593533.0
MPI,1000000,32,16331866.0
MPI,1000000,32,11387697.0
MPI,1000000,32,16299015.0
MPI,1000000,32,11526977.0
MPI,1000000,32,16268968.0
Padded,1000000,32,2671533.0
Padded,1000000,32,2030162.0
Padded,1000000,32,1934884.0
Padded,1000000,32,2247209.0
Padded,1000000,32,2413230.0
CUDA,1000000,N/A,3.38381
CUDA,1000000,N/A,3.52982
CUDA,1000000,N/A,2.74467
CUDA,1000000,N/A,2.85981
CUDA,1000000,N/A,3.04038
OpenMP,10000000,4,9671602.980234
OpenMP,10000000,4,9010305.046104
OpenMP,10000000,4,8926327.980589
OpenMP,10000000,4,9174391.976558
OpenMP,10000000,4,9154574.014246
Java,10000000,4,23553601.0
Java,10000000,4,27953942.0
