Program,Array Size,Thread Count,Execution Time
OpenMP,10000,4,186791.003216
OpenMP,10000,4,152287.015226
OpenMP,10000,4,131086.038891
OpenMP,10000,4,137789.000291
OpenMP,10000,4,119965.989143
Java,10000,4,918387.0
Java,10000,4,865929.0
Java,10000,4,846271.0
Java,10000,4,834530.0
Java,10000,4,913137.0
MPI,10000,4,272974.0
MPI,10000,4,309553.0
MPI,10000,4,263756.0
MPI,10000,4,295886.0
MPI,10000,4,298060.0
Padded,10000,4,275628.0
Padded,10000,4,172475.0
Padded,10000,4,399431.0
Padded,10000,4,155132.0
Padded,10000,4,375547.0
OpenMP,10000,8,216315.9661
OpenMP,10000,8,204334.035516
OpenMP,10000,8,205336.022191
OpenMP,10000,8,204414.012842
OpenMP,10000,8,215965.963434
Java,10000,8,1479753.0
Java,10000,8,1545155.0
Java,10000,8,1394593.0
Java,10000,8,1326495.0
Java,10000,8,1496734.0
MPI,10000,8,285236.0
MPI,10000,8,297790.0
MPI,10000,8,283253.0
MPI,10000,8,268224.0
MPI,10000,8,275368.0
Padded,10000,8,651816.0
Padded,10000,8,571445.0
Padded,10000,8,332886.0
Padded,10000,8,334889.0
Padded,10000,8,341863.0
OpenMP,10000,16,423385.994509
OpenMP,10000,16,393248.978071
OpenMP,10000,16,394101.021811
OpenMP,10000,16,419989.984948
OpenMP,10000,16,409799.977206
Java,10000,16,2138131.0
Java,10000,16,1970475.0
Java,10000,16,1977999.0
Java,10000,16,2102834.0
Java,10000,16,2305786.0
MPI,10000,16,339027.0
MPI,10000,16,420390.0
MPI,10000,16,356902.0
MPI,10000,16,407517.0
MPI,10000,16,426723.0
Padded,10000,16,962941.0
Padded,10000,16,911504.0
Padded,10000,16,882239.0
Padded,10000,16,800956.0
Padded,10000,16,907416.0
OpenMP,10000,32,900193.001144
OpenMP,10000,32,919448.968489
OpenMP,10000,32,840761.000291
OpenMP,10000,32,822316.971608
OpenMP,10000,32,733689.987101
Java,10000,32,3555215.0
Java,10000,32,3118264.0
Java,10000,32,3547270.0
Java,10000,32,3483140.0
Java,10000,32,3241035.0
MPI,10000,32,562978.0
MPI,10000,32,642488.0
MPI,10000,32,522052.0
MPI,10000,32,722749.0
MPI,10000,32,609717.0
Padded,10000,32,1565825.0
Padded,10000,32,1539675.0
Padded,10000,32,1222880.0
Padded,10000,32,1181261.0
Padded,10000,32,1672815.0
CUDA,10000,N/A,0.0
CUDA,10000,N/A,0.0
CUDA,10000,N/A,0.0
CUDA,10000,N/A,0.0
CUDA,10000,N/A,0.0
OpenMP,100000,4,538241.991308
OpenMP,100000,4,301626.976579
OpenMP,100000,4,207511.009648
OpenMP,100000,4,304242.013954
OpenMP,100000,4,216056.010686
Java,100000,4,2708833.0
Java,100000,4,3310485.0
Java,100000,4,3419239.0
Java,100000,4,3279847.0
Java,100000,4,3161715.0
MPI,100000,4,1456719.0
MPI,100000,4,1472309.0
MPI,100000,4,1487907.0
MPI,100000,4,1433946.0
MPI,100000,4,1441221.0
Padded,100000,4,358614.0
Padded,100000,4,455647.0
Padded,100000,4,639082.0
Padded,100000,4,323118.0
Padded,100000,4,332054.0
OpenMP,100000,8,451949.017588
OpenMP,100000,8,441348.995082
OpenMP,100000,8,468540.994916
OpenMP,100000,8,418076.000642
OpenMP,100000,8,318489.037454
Java,100000,8,3676243.0
Java,100000,8,3571366.0
Java,100000,8,3446602.0
Java,100000,8,3738130.0
Java,100000,8,3860620.0
MPI,100000,8,1382019.0
MPI,100000,8,1373232.0
MPI,100000,8,1380446.0
MPI,100000,8,1409231.0
MPI,100000,8,1412246.0
Padded,100000,8,661954.0
Padded,100000,8,963051.0
Padded,100000,8,918758.0
Padded,100000,8,691360.0
Padded,100000,8,520249.0
OpenMP,100000,16,607531.983405
OpenMP,100000,16,462479.016278
OpenMP,100000,16,491273.996886
OpenMP,100000,16,511461.985298
OpenMP,100000,16,485323.020257
Java,100000,16,3523916.0
Java,100000,16,3604609.0
Java,100000,16,3834761.0
Java,100000,16,3581685.0
Java,100000,16,4161917.0
MPI,100000,16,1955909.0
MPI,100000,16,1903109.0
MPI,100000,16,2471247.0
MPI,100000,16,1920332.0
MPI,100000,16,1922215.0
Padded,100000,16,982778.0
Padded,100000,16,959233.0
Padded,100000,16,837956.0
Padded,100000,16,791708.0
Padded,100000,16,1104217.0
OpenMP,100000,32,1029826.002195
OpenMP,100000,32,951329.013333
OpenMP,100000,32,863093.009684
OpenMP,100000,32,855158.024933
OpenMP,100000,32,834018.050227
Java,100000,32,5124317.0
Java,100000,32,4204456.0
Java,100000,32,4209226.0
Java,100000,32,5039397.0
Java,100000,32,4349840.0
MPI,100000,32,1710878.0
MPI,100000,32,1565944.0
MPI,100000,32,1618303.0
MPI,100000,32,1943775.0
MPI,100000,32,2447984.0
Padded,100000,32,1585181.0
Padded,100000,32,1868904.0
Padded,100000,32,1897849.0
Padded,100000,32,1638361.0
Padded,100000,32,1358705.0
CUDA,100000,N/A,0.0
CUDA,100000,N/A,0.0
CUDA,100000,N/A,0.0
CUDA,100000,N/A,0.0
CUDA,100000,N/A,0.0
OpenMP,1000000,4,1409722.026438
OpenMP,1000000,4,1059371.978045
OpenMP,1000000,4,1427414.012142
OpenMP,1000000,4,1698072.999716
OpenMP,1000000,4,1292580.971494
Java,1000000,4,31093160.0
Java,1000000,4,21918538.0
Java,1000000,4,26171896.0
Java,1000000,4,24452623.0
Java,1000000,4,21548451.0
MPI,1000000,4,12690284.0
MPI,1000000,4,12197587.0
